vars_selection_tab,Freq,r2,MAG,mean_rel_ab,scenario,median_present,q25_present,q75_present,median_future,q25_future,q75_future,median_change,q25_change,q75_change,median_rel_change,q25_rel_change,q75_rel_change,wilcox_p,wilcox_stat
clim_scd,0.1,0.077832768983328,336R_concoct_189_sub,1.59005938337427e-05,370,1.53926293324855,0.934278780096446,3.7139514033747,2.43010415562959,1.45831518538182,5.23756027247708,0.75328530912013,0.447086137741852,1.36519953098838,0.557808850453084,0.447086137741852,1.36519953098838,5.12286825339975e-222,1071028
elevation,0.1,0.077832768983328,336R_concoct_189_sub,1.59005938337427e-05,370,1.53926293324855,0.934278780096446,3.7139514033747,2.43010415562959,1.45831518538182,5.23756027247708,0.75328530912013,0.447086137741852,1.36519953098838,0.557808850453084,0.447086137741852,1.36519953098838,5.12286825339975e-222,1071028
nut_din_predicted,0.9,0.077832768983328,336R_concoct_189_sub,1.59005938337427e-05,370,1.53926293324855,0.934278780096446,3.7139514033747,2.43010415562959,1.45831518538182,5.23756027247708,0.75328530912013,0.447086137741852,1.36519953098838,0.557808850453084,0.447086137741852,1.36519953098838,5.12286825339975e-222,1071028
abs_latitude,1,0.0778868690354833,336R_concoct_189_sub,1.59005938337427e-05,585,1.53846545590616,0.935375536296904,3.71614177455663,2.6036311796419,1.56154931207466,5.5497971445407,0.873570376844343,0.525610298371796,1.70769198763727,0.658690681667829,0.525610298371796,1.70769198763727,7.08630622928208e-206,1051467
bioclim_PC1,0.9,0.0778868690354833,336R_concoct_189_sub,1.59005938337427e-05,585,1.53846545590616,0.935375536296904,3.71614177455663,2.6036311796419,1.56154931207466,5.5497971445407,0.873570376844343,0.525610298371796,1.70769198763727,0.658690681667829,0.525610298371796,1.70769198763727,7.08630622928208e-206,1051467
clim_scd,0.1,0.0778868690354833,336R_concoct_189_sub,1.59005938337427e-05,585,1.53846545590616,0.935375536296904,3.71614177455663,2.6036311796419,1.56154931207466,5.5497971445407,0.873570376844343,0.525610298371796,1.70769198763727,0.658690681667829,0.525610298371796,1.70769198763727,7.08630622928208e-206,1051467
elevation,0.1,0.0778868690354833,336R_concoct_189_sub,1.59005938337427e-05,585,1.53846545590616,0.935375536296904,3.71614177455663,2.6036311796419,1.56154931207466,5.5497971445407,0.873570376844343,0.525610298371796,1.70769198763727,0.658690681667829,0.525610298371796,1.70769198763727,7.08630622928208e-206,1051467
nut_din_predicted,0.9,0.0778868690354833,336R_concoct_189_sub,1.59005938337427e-05,585,1.53846545590616,0.935375536296904,3.71614177455663,2.6036311796419,1.56154931207466,5.5497971445407,0.873570376844343,0.525610298371796,1.70769198763727,0.658690681667829,0.525610298371796,1.70769198763727,7.08630622928208e-206,1051467
abs_latitude,0.9,0.298616335393325,336R_concoct_227_sub,5.8631560897946e-05,126,42.8126454590653,31.1864663591651,58.02951233807,45.9955125155458,32.4306748770547,66.2303503329528,2.25047578613595,0.98958126464171,4.25706903557072,0.0469317867114773,0.98958126464171,4.25706903557072,1.21738464452295e-149,976414
clim_tasmax,0.1,0.298616335393325,336R_concoct_227_sub,5.8631560897946e-05,126,42.8126454590653,31.1864663591651,58.02951233807,45.9955125155458,32.4306748770547,66.2303503329528,2.25047578613595,0.98958126464171,4.25706903557072,0.0469317867114773,0.98958126464171,4.25706903557072,1.21738464452295e-149,976414
longitude,0.1,0.298616335393325,336R_concoct_227_sub,5.8631560897946e-05,126,42.8126454590653,31.1864663591651,58.02951233807,45.9955125155458,32.4306748770547,66.2303503329528,2.25047578613595,0.98958126464171,4.25706903557072,0.0469317867114773,0.98958126464171,4.25706903557072,1.21738464452295e-149,976414
pc_conductivity_predicted,0.1,0.298616335393325,336R_concoct_227_sub,5.8631560897946e-05,126,42.8126454590653,31.1864663591651,58.02951233807,45.9955125155458,32.4306748770547,66.2303503329528,2.25047578613595,0.98958126464171,4.25706903557072,0.0469317867114773,0.98958126464171,4.25706903557072,1.21738464452295e-149,976414
pc_ph_predicted,0.9,0.298616335393325,336R_concoct_227_sub,5.8631560897946e-05,126,42.8126454590653,31.1864663591651,58.02951233807,45.9955125155458,32.4306748770547,66.2303503329528,2.25047578613595,0.98958126464171,4.25706903557072,0.0469317867114773,0.98958126464171,4.25706903557072,1.21738464452295e-149,976414
slope,0.9,0.298616335393325,336R_concoct_227_sub,5.8631560897946e-05,126,42.8126454590653,31.1864663591651,58.02951233807,45.9955125155458,32.4306748770547,66.2303503329528,2.25047578613595,0.98958126464171,4.25706903557072,0.0469317867114773,0.98958126464171,4.25706903557072,1.21738464452295e-149,976414
abs_latitude,0.9,0.298602197902492,336R_concoct_227_sub,5.8631560897946e-05,370,42.7849865244753,31.1824033095477,58.0021785714284,50.6267074724291,35.9878274382612,73.3069147919882,5.72094638229175,2.73650133472915,10.2737154552655,0.120682854098378,2.73650133472915,10.2737154552655,7.82700453572849e-164,996538
clim_tasmax,0.1,0.298602197902492,336R_concoct_227_sub,5.8631560897946e-05,370,42.7849865244753,31.1824033095477,58.0021785714284,50.6267074724291,35.9878274382612,73.3069147919882,5.72094638229175,2.73650133472915,10.2737154552655,0.120682854098378,2.73650133472915,10.2737154552655,7.82700453572849e-164,996538
longitude,0.1,0.298602197902492,336R_concoct_227_sub,5.8631560897946e-05,370,42.7849865244753,31.1824033095477,58.0021785714284,50.6267074724291,35.9878274382612,73.3069147919882,5.72094638229175,2.73650133472915,10.2737154552655,0.120682854098378,2.73650133472915,10.2737154552655,7.82700453572849e-164,996538
pc_conductivity_predicted,0.1,0.298602197902492,336R_concoct_227_sub,5.8631560897946e-05,370,42.7849865244753,31.1824033095477,58.0021785714284,50.6267074724291,35.9878274382612,73.3069147919882,5.72094638229175,2.73650133472915,10.2737154552655,0.120682854098378,2.73650133472915,10.2737154552655,7.82700453572849e-164,996538
pc_ph_predicted,0.9,0.298602197902492,336R_concoct_227_sub,5.8631560897946e-05,370,42.7849865244753,31.1824033095477,58.0021785714284,50.6267074724291,35.9878274382612,73.3069147919882,5.72094638229175,2.73650133472915,10.2737154552655,0.120682854098378,2.73650133472915,10.2737154552655,7.82700453572849e-164,996538
slope,0.9,0.298602197902492,336R_concoct_227_sub,5.8631560897946e-05,370,42.7849865244753,31.1824033095477,58.0021785714284,50.6267074724291,35.9878274382612,73.3069147919882,5.72094638229175,2.73650133472915,10.2737154552655,0.120682854098378,2.73650133472915,10.2737154552655,7.82700453572849e-164,996538
abs_latitude,0.9,0.298976387255494,336R_concoct_227_sub,5.8631560897946e-05,585,42.7657065151608,31.1611844998878,58.0015791468092,52.7058816243024,36.574771853618,77.9771071777091,7.23762810618993,3.35170142107598,13.3919052216982,0.155306234434348,3.35170142107598,13.3919052216982,4.53536732656641e-171,1006461
clim_tasmax,0.1,0.298976387255494,336R_concoct_227_sub,5.8631560897946e-05,585,42.7657065151608,31.1611844998878,58.0015791468092,52.7058816243024,36.574771853618,77.9771071777091,7.23762810618993,3.35170142107598,13.3919052216982,0.155306234434348,3.35170142107598,13.3919052216982,4.53536732656641e-171,1006461
